,Unnamed: 0,Teacher_ID,Full_Name,Subject,Grade_Level,Years_Exp,Regional_Priority_Skills,School_SES_Rating,Student_Teacher_Ratio,Region,Skills
141,141,T1141,Teacher_141,Computer Science,10,15,"AI_Literacy, Digital_Citizenship",0.63,20.6,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
142,142,T1142,Teacher_142,World History,7,9,Standard_Curriculum,0.85,18.1,Rural,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
143,143,T1143,Teacher_143,Computer Science,9,2,"AI_Literacy, Digital_Citizenship",0.36,27.4,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
144,144,T1144,Teacher_144,Computer Science,10,14,"AI_Literacy, Digital_Citizenship",0.13,31.1,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
145,145,T1145,Teacher_145,Chemistry,10,3,Data_Ethics,0.97,14.1,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
146,146,T1146,Teacher_146,Chemistry,12,6,Data_Ethics,0.39,29.3,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
147,147,T1147,Teacher_147,Mathematics,9,7,"Data_Ethics, Mental_Health_First_Aid",0.76,18.7,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
148,148,T1148,Teacher_148,Physics,7,4,Data_Ethics,0.66,22.8,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
149,149,T1149,Teacher_149,Computer Science,7,10,"AI_Literacy, Digital_Citizenship",0.92,16.5,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
150,150,T1150,Teacher_150,English Literature,6,13,Mental_Health_First_Aid,0.13,31.6,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
151,151,T1151,Teacher_151,Mathematics,7,8,Data_Ethics,0.52,25.2,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
152,152,T1152,Teacher_152,World History,7,14,Standard_Curriculum,0.95,13.8,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
153,153,T1153,Teacher_153,Computer Science,9,1,"AI_Literacy, Digital_Citizenship",0.76,22.3,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
154,154,T1154,Teacher_154,Biology,10,12,Climate_Science,0.19,28.3,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
155,155,T1155,Teacher_155,World History,9,4,Mental_Health_First_Aid,0.81,20.7,Semi-Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
156,156,T1156,Teacher_156,Biology,6,6,Climate_Science,0.72,19.5,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
157,157,T1157,Teacher_157,World History,10,11,Mental_Health_First_Aid,0.21,30.4,Semi-Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
158,158,T1158,Teacher_158,English Literature,7,5,Standard_Curriculum,0.3,29.7,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
159,159,T1159,Teacher_159,Computer Science,11,5,"AI_Literacy, Digital_Citizenship",0.01,35.4,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
160,160,T1160,Teacher_160,World History,11,18,Mental_Health_First_Aid,0.09,34.3,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
161,161,T1161,Teacher_161,Physics,6,8,Data_Ethics,0.07,34.0,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
162,162,T1162,Teacher_162,World History,6,7,Standard_Curriculum,0.67,21.0,Rural,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
163,163,T1163,Teacher_163,Biology,10,9,Climate_Science,0.9,14.5,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
164,164,T1164,Teacher_164,Computer Science,8,14,"AI_Literacy, Digital_Citizenship",0.27,28.7,Semi-Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
165,165,T1165,Teacher_165,Mathematics,8,1,"Data_Ethics, Mental_Health_First_Aid",0.85,16.1,Rural,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
166,166,T1166,Teacher_166,English Literature,12,11,Mental_Health_First_Aid,0.27,32.2,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
167,167,T1167,Teacher_167,Chemistry,12,2,Data_Ethics,0.92,16.3,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
168,168,T1168,Teacher_168,World History,12,2,Standard_Curriculum,0.94,14.4,Semi-Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
169,169,T1169,Teacher_169,English Literature,10,10,Mental_Health_First_Aid,0.39,26.6,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
170,170,T1170,Teacher_170,Physics,8,10,Data_Ethics,0.38,26.4,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
171,171,T1171,Teacher_171,Mathematics,7,13,Data_Ethics,0.13,32.8,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
172,172,T1172,Teacher_172,Computer Science,6,11,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.91,16.3,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
173,173,T1173,Teacher_173,Chemistry,6,8,Data_Ethics,0.87,16.0,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
174,174,T1174,Teacher_174,Chemistry,7,10,"Data_Ethics, Mental_Health_First_Aid",0.65,22.9,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
175,175,T1175,Teacher_175,Physics,12,14,"Data_Ethics, Mental_Health_First_Aid",0.3,28.0,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
176,176,T1176,Teacher_176,Physics,11,12,Data_Ethics,0.88,17.7,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
177,177,T1177,Teacher_177,Mathematics,6,3,Data_Ethics,0.8,18.9,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
178,178,T1178,Teacher_178,Mathematics,10,18,Data_Ethics,0.78,20.1,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
179,179,T1179,Teacher_179,Computer Science,12,11,"AI_Literacy, Digital_Citizenship",0.22,30.5,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
180,180,T1180,Teacher_180,Computer Science,9,7,"AI_Literacy, Digital_Citizenship",0.33,28.8,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
181,181,T1181,Teacher_181,Computer Science,11,21,"AI_Literacy, Digital_Citizenship",0.73,20.0,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
182,182,T1182,Teacher_182,Mathematics,9,7,Data_Ethics,0.9,19.5,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
183,183,T1183,Teacher_183,Computer Science,8,9,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.14,30.0,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
184,184,T1184,Teacher_184,Chemistry,12,2,Data_Ethics,0.92,14.5,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
185,185,T1185,Teacher_185,Computer Science,10,1,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.2,33.7,Semi-Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
186,186,T1186,Teacher_186,English Literature,7,8,Standard_Curriculum,0.8,19.0,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
187,187,T1187,Teacher_187,World History,8,14,Mental_Health_First_Aid,0.2,29.3,Semi-Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
188,188,T1188,Teacher_188,Computer Science,6,7,"AI_Literacy, Digital_Citizenship",0.22,31.5,Semi-Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
189,189,T1189,Teacher_189,Biology,9,6,Climate_Science,0.49,27.5,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
190,190,T1190,Teacher_190,English Literature,7,5,Standard_Curriculum,0.75,19.7,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
191,191,T1191,Teacher_191,English Literature,9,2,Standard_Curriculum,0.0,37.7,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
192,192,T1192,Teacher_192,Mathematics,9,9,Data_Ethics,0.07,33.8,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
193,193,T1193,Teacher_193,Biology,7,3,Climate_Science,0.64,21.0,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
194,194,T1194,Teacher_194,English Literature,11,5,Mental_Health_First_Aid,0.17,29.9,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
195,195,T1195,Teacher_195,Computer Science,11,8,"AI_Literacy, Digital_Citizenship",0.96,15.0,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
196,196,T1196,Teacher_196,Physics,10,2,Data_Ethics,0.84,18.7,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
197,197,T1197,Teacher_197,Mathematics,6,4,"Data_Ethics, Mental_Health_First_Aid",0.89,17.3,Rural,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
198,198,T1198,Teacher_198,Physics,8,9,"Data_Ethics, Mental_Health_First_Aid",0.53,24.3,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
199,199,T1199,Teacher_199,Mathematics,7,7,"Data_Ethics, Mental_Health_First_Aid",0.9,17.3,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
200,200,T1200,Teacher_200,Chemistry,8,4,Data_Ethics,0.09,35.6,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
201,201,T1201,Teacher_201,English Literature,12,6,Standard_Curriculum,0.85,16.9,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
202,202,T1202,Teacher_202,Mathematics,7,9,Data_Ethics,0.76,17.6,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
203,203,T1203,Teacher_203,Biology,6,13,Climate_Science,0.34,28.4,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
204,204,T1204,Teacher_204,Biology,7,6,Climate_Science,0.18,32.0,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
205,205,T1205,Teacher_205,World History,11,8,Mental_Health_First_Aid,0.8,18.9,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
206,206,T1206,Teacher_206,English Literature,7,7,Mental_Health_First_Aid,0.22,34.5,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
207,207,T1207,Teacher_207,Physics,7,3,"Data_Ethics, Mental_Health_First_Aid",0.64,22.7,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
208,208,T1208,Teacher_208,Chemistry,7,1,Data_Ethics,0.9,16.2,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
209,209,T1209,Teacher_209,Physics,11,12,Data_Ethics,0.93,19.4,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
210,210,T1210,Teacher_210,Mathematics,10,5,Data_Ethics,0.28,28.4,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
211,211,T1211,Teacher_211,Computer Science,12,12,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.09,32.4,Semi-Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
212,212,T1212,Teacher_212,Mathematics,12,12,Data_Ethics,0.34,26.1,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
213,213,T1213,Teacher_213,English Literature,11,5,Standard_Curriculum,0.73,19.7,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
214,214,T1214,Teacher_214,Chemistry,8,12,Data_Ethics,0.11,31.8,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
215,215,T1215,Teacher_215,Mathematics,11,1,"Data_Ethics, Mental_Health_First_Aid",0.77,18.3,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
216,216,T1216,Teacher_216,Chemistry,9,6,Data_Ethics,0.24,33.6,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
217,217,T1217,Teacher_217,World History,9,4,Standard_Curriculum,0.79,20.2,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
218,218,T1218,Teacher_218,Mathematics,10,2,Data_Ethics,0.11,32.4,Rural,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
219,219,T1219,Teacher_219,Computer Science,12,11,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.81,16.2,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
220,220,T1220,Teacher_220,Computer Science,11,4,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.8,18.0,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
221,221,T1221,Teacher_221,English Literature,10,10,Standard_Curriculum,0.07,33.6,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
222,222,T1222,Teacher_222,World History,8,6,Standard_Curriculum,0.04,34.0,Semi-Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
223,223,T1223,Teacher_223,English Literature,6,6,Standard_Curriculum,0.78,18.3,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
224,224,T1224,Teacher_224,Biology,8,1,Climate_Science,0.69,21.4,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
225,225,T1225,Teacher_225,Physics,7,4,"Data_Ethics, Mental_Health_First_Aid",0.02,34.4,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
226,226,T1226,Teacher_226,Physics,8,8,Data_Ethics,0.76,20.1,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
227,227,T1227,Teacher_227,Biology,8,11,Climate_Science,0.07,33.4,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
228,228,T1228,Teacher_228,English Literature,12,1,Mental_Health_First_Aid,0.02,35.3,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
229,229,T1229,Teacher_229,Physics,9,12,Data_Ethics,0.36,28.2,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
230,230,T1230,Teacher_230,Computer Science,6,9,"AI_Literacy, Digital_Citizenship",0.02,33.1,Semi-Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
231,231,T1231,Teacher_231,Biology,10,15,Climate_Science,0.38,29.3,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
232,232,T1232,Teacher_232,Chemistry,6,5,"Data_Ethics, Mental_Health_First_Aid",0.86,17.8,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
233,233,T1233,Teacher_233,English Literature,9,10,Mental_Health_First_Aid,0.13,32.3,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
234,234,T1234,Teacher_234,Physics,10,2,Data_Ethics,0.17,31.7,Rural,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
235,235,T1235,Teacher_235,World History,9,7,Mental_Health_First_Aid,0.77,18.9,Rural,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
236,236,T1236,Teacher_236,Physics,10,7,"Data_Ethics, Mental_Health_First_Aid",0.25,31.1,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
237,237,T1237,Teacher_237,English Literature,8,5,Mental_Health_First_Aid,0.94,14.4,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
238,238,T1238,Teacher_238,Chemistry,10,8,Data_Ethics,0.79,17.7,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
239,239,T1239,Teacher_239,World History,10,4,Standard_Curriculum,0.82,19.6,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
240,240,T1240,Teacher_240,Biology,11,1,Climate_Science,0.09,29.6,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
241,241,T1241,Teacher_241,Physics,6,7,Data_Ethics,0.77,19.7,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
242,242,T1242,Teacher_242,Mathematics,9,1,"Data_Ethics, Mental_Health_First_Aid",0.24,31.4,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
243,243,T1243,Teacher_243,World History,8,19,Standard_Curriculum,0.7,19.7,Rural,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
244,244,T1244,Teacher_244,World History,12,7,Standard_Curriculum,0.74,20.9,Rural,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
245,245,T1245,Teacher_245,Chemistry,7,15,"Data_Ethics, Mental_Health_First_Aid",0.06,35.0,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
246,246,T1246,Teacher_246,Physics,10,1,Data_Ethics,0.17,33.0,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
247,247,T1247,Teacher_247,Physics,7,3,Data_Ethics,0.11,33.9,Rural,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
248,248,T1248,Teacher_248,English Literature,12,11,Standard_Curriculum,0.53,22.4,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
249,249,T1249,Teacher_249,Mathematics,12,18,Data_Ethics,0.88,18.6,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
250,250,T1250,Teacher_250,Biology,10,13,Climate_Science,0.52,21.9,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
251,251,T1251,Teacher_251,Physics,7,4,Data_Ethics,0.04,35.6,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
252,252,T1252,Teacher_252,Mathematics,12,1,Data_Ethics,0.77,18.0,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
253,253,T1253,Teacher_253,Biology,9,7,Climate_Science,0.31,29.3,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
254,254,T1254,Teacher_254,English Literature,6,10,Standard_Curriculum,0.3,29.3,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
255,255,T1255,Teacher_255,Chemistry,6,19,Data_Ethics,0.8,19.4,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
256,256,T1256,Teacher_256,Chemistry,9,3,"Data_Ethics, Mental_Health_First_Aid",0.95,17.4,Rural,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
257,257,T1257,Teacher_257,World History,11,6,Mental_Health_First_Aid,0.58,22.1,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
258,258,T1258,Teacher_258,Biology,9,13,Climate_Science,0.85,15.4,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
259,259,T1259,Teacher_259,English Literature,7,8,Mental_Health_First_Aid,0.21,34.4,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
260,260,T1260,Teacher_260,English Literature,8,11,Standard_Curriculum,0.4,26.3,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
261,261,T1261,Teacher_261,Biology,8,6,Climate_Science,0.08,31.6,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
262,262,T1262,Teacher_262,Computer Science,7,1,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.72,21.1,Semi-Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
263,263,T1263,Teacher_263,Chemistry,6,11,Data_Ethics,0.15,32.2,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
264,264,T1264,Teacher_264,English Literature,12,11,Mental_Health_First_Aid,0.83,20.3,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
265,265,T1265,Teacher_265,Biology,11,14,Climate_Science,0.15,30.3,Rural,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
266,266,T1266,Teacher_266,English Literature,9,9,Standard_Curriculum,0.92,18.1,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
267,267,T1267,Teacher_267,Mathematics,11,7,"Data_Ethics, Mental_Health_First_Aid",0.08,33.4,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
268,268,T1268,Teacher_268,English Literature,11,1,Mental_Health_First_Aid,0.11,30.7,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
269,269,T1269,Teacher_269,Chemistry,9,6,Data_Ethics,0.8,19.1,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
270,270,T1270,Teacher_270,Chemistry,10,9,Data_Ethics,0.9,17.6,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
271,271,T1271,Teacher_271,Computer Science,10,8,"AI_Literacy, Digital_Citizenship",0.85,18.5,Semi-Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
272,272,T1272,Teacher_272,English Literature,7,13,Standard_Curriculum,0.33,28.5,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
273,273,T1273,Teacher_273,Chemistry,11,1,Data_Ethics,0.47,26.7,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
274,274,T1274,Teacher_274,Chemistry,6,7,"Data_Ethics, Mental_Health_First_Aid",0.93,16.6,Rural,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
275,275,T1275,Teacher_275,World History,6,10,Standard_Curriculum,0.02,34.6,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
276,276,T1276,Teacher_276,Chemistry,6,3,"Data_Ethics, Mental_Health_First_Aid",0.21,28.5,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
277,277,T1277,Teacher_277,Chemistry,10,17,Data_Ethics,0.92,16.3,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
278,278,T1278,Teacher_278,Biology,12,12,Climate_Science,0.95,15.5,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
279,279,T1279,Teacher_279,Mathematics,8,10,"Data_Ethics, Mental_Health_First_Aid",0.56,25.7,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
280,280,T1280,Teacher_280,Physics,9,2,"Data_Ethics, Mental_Health_First_Aid",0.64,22.7,Rural,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
281,281,T1281,Teacher_281,Mathematics,10,5,Data_Ethics,0.9,18.8,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
